,dates,Ancestor's Chosen,Angel of Mercy,Aven Cloudchaser,Ballista Squad,Bandage,Beacon of Immortality,Benalish Knight,Condemn,Contaminated Bond,Demystify
2011-02-25,2011-02-25,," 1.32
",,,,,,,,
2011-02-26,2011-02-26,," 1.32
",,,,,,,,
2011-02-27,2011-02-27,," 1.41
",,,,,,,,
2011-02-28,2011-02-28,," 1.41
",,,,,,,,
2011-03-01,2011-03-01,," 1.41
",,,,,,,,
2011-03-02,2011-03-02,," 1.32
",,,,,,,,
2011-03-03,2011-03-03,," 1.32
",,,,,,,,
2011-03-04,2011-03-04,," 1.32
",,,,,,,,
2011-03-05,2011-03-05,," 1.32
",,,,,,,,
2011-03-06,2011-03-06,," 1.32
",,,,,,,,
2011-03-07,2011-03-07,," 1.32
",,,,,,,,
2011-03-08,2011-03-08,," 1.32
",,,,,,,,
2011-03-09,2011-03-09,," 1.32
",,,,,,,,
2011-03-10,2011-03-10,," 1.32
",,,,,,,,
2011-03-11,2011-03-11,," 1.54
",,,,,,,,
2011-03-12,2011-03-12,," 1.54
",,,,,,,,
2011-03-13,2011-03-13,," 1.54
",,,,,,,,
2011-03-14,2011-03-14,," 1.54
",,,,,,,,
2011-03-15,2011-03-15,," 1.54
",,,,,,,,
2011-03-16,2011-03-16,," 1.54
",,,,,,,,
2011-03-17,2011-03-17,," 1.54
",,,,,,,,
2011-03-18,2011-03-18,," 1.54
",,,,,,,,
2011-03-19,2011-03-19,," 1.54
",,,,,,,,
2011-03-20,2011-03-20,," 1.54
",,,,,,,,
2011-03-21,2011-03-21,," 1.54
",,,,,,,,
2011-03-22,2011-03-22,," 1.54
",,,,,,,,
2011-03-23,2011-03-23,," 1.54
",,,,,,,,
2011-03-24,2011-03-24,," 1.54
",,,,,,,,
2011-03-25,2011-03-25,," 1.54
",,,,,,,,
2011-03-26,2011-03-26,," 1.54
",,,,,,,,
2011-03-27,2011-03-27,," 1.54
",,,,,,,,
2011-03-28,2011-03-28,," 1.54
",,,,,,,,
2011-03-29,2011-03-29,," 1.54
",,,,,,,,
2011-03-30,2011-03-30,," 1.31
",,,,,,,,
2011-03-31,2011-03-31,," 1.31
",,,,,,,,
2011-04-01,2011-04-01,," 1.31
",,,,,,,,
2011-04-02,2011-04-02,," 1.34
",,,,,,,,
2011-04-03,2011-04-03,," 1.34
",,,,,,,,
2011-04-04,2011-04-04,," 1.31
",,,,,,,,
2011-04-05,2011-04-05,," 1.31
",,,,,,,,
2011-04-06,2011-04-06,," 1.31
",,,,,,,,
2011-04-07,2011-04-07,," 1.31
",,,,,,,,
2011-04-08,2011-04-08,," 1.31
",,,,,,,,
2011-04-09,2011-04-09,," 1.31
",,,,,,,,
2011-04-10,2011-04-10,," 1.31
",,,,,,,,
2011-04-11,2011-04-11,," 1.31
",,,,,,,,
2011-04-12,2011-04-12,," 1.31
",,,,,,,,
2011-04-13,2011-04-13,," 1.31
",,,,,,,,
2011-04-14,2011-04-14,," 1.31
",,,,,,,,
2011-04-15,2011-04-15,," 1.31
",,,,,,,,
2011-04-16,2011-04-16,," 1.31
",,,,,,,,
2011-04-17,2011-04-17,," 1.31
",,,,,,,,
2011-04-18,2011-04-18,," 1.31
",,,,,,,,
2011-04-19,2011-04-19,," 1.31
",,,,,,,,
2011-04-20,2011-04-20,," 1.31
",,,,,,,,
2011-04-21,2011-04-21,," 1.31
",,,,,,,,
2011-04-22,2011-04-22,," 1.31
",,,,,,,,
2011-04-23,2011-04-23,," 1.31
",,,,,,,,
2011-04-24,2011-04-24,," 1.31
",,,,,,,,
2011-04-25,2011-04-25,," 1.31
",,,,,,,,
2011-04-29,2011-04-29,," 1.31
",,,,,,,,
2011-04-30,2011-04-30,," 1.31
",,,,,,,,
2011-05-01,2011-05-01,," 1.31
",,,,,,,,
2011-05-02,2011-05-02,," 1.31
",,,,,,,,
2011-05-03,2011-05-03,," 1.31
",,,,,,,,
2011-05-04,2011-05-04,," 1.31
",,,,,,,,
2011-05-05,2011-05-05,," 1.31
",,,,,,,,
2011-05-06,2011-05-06,," 1.31
",,,,,,,,
2011-05-07,2011-05-07,," 1.31
",,,,,,,,
2011-05-08,2011-05-08,," 1.31
",,,,,,,,
2011-05-09,2011-05-09,," 1.31
",,,,,,,,
2011-05-10,2011-05-10,," 1.31
",,,,,,,,
2011-05-11,2011-05-11,," 1.31
",,,,,,,,
2011-05-12,2011-05-12,," 1.31
",,,,,,,,
2011-05-13,2011-05-13,," 1.56
",,,,,,,,
2011-05-14,2011-05-14,," 1.56
",,,,,,,,
2011-05-15,2011-05-15,," 1.56
",,,,,,,,
2011-05-16,2011-05-16,," 1.31
",,,,,,,,
2011-05-17,2011-05-17,," 1.31
",,,,,,,,
2011-05-18,2011-05-18,," 1.56
",,,,,,,,
2011-05-19,2011-05-19,," 1.31
",,,,,,,,
2011-05-20,2011-05-20,," 1.31
",,,,,,,,
2011-05-21,2011-05-21,," 1.31
",,,,,,,,
2011-05-22,2011-05-22,," 1.31
",,,,,,,,
2011-05-23,2011-05-23,," 1.31
",,,,,,,,
2011-05-24,2011-05-24,," 1.31
",,,,,,,,
2011-05-25,2011-05-25,," 1.39
",,,,,,,,
2011-05-26,2011-05-26,," 1.39
",,,,,,,,
2011-05-27,2011-05-27,," 1.39
",,,,,,,,
2011-05-28,2011-05-28,," 1.56
",,,,,,,,
2011-05-29,2011-05-29,," 1.56
",,,,,,,,
2011-05-30,2011-05-30,," 1.56
",,,,,,,,
2011-05-31,2011-05-31,," 1.56
",,,,,,,,
2011-06-01,2011-06-01,," 1.56
",,,,,,,,
2011-06-02,2011-06-02,," 1.56
",,,,,,,,
2011-06-03,2011-06-03,," 1.56
",,,,,,,,
2011-06-04,2011-06-04,," 1.56
",,,,,,,,
2011-06-05,2011-06-05,," 1.56
",,,,,,,,
2011-06-06,2011-06-06,," 1.56
",,,,,,,,
2011-06-07,2011-06-07,," 1.56
",,,,,,,,
2011-06-08,2011-06-08,," 1.56
",,,,,,,,
2011-06-09,2011-06-09,," 1.56
",,,,,,,,
2011-06-10,2011-06-10,," 1.56
",,,,,,,,
2011-06-11,2011-06-11,," 1.56
",,,,,,,,
2011-06-12,2011-06-12,," 1.56
",,,,,,,,
2011-06-13,2011-06-13,," 1.56
",,,,,,,,
2011-06-14,2011-06-14,," 1.56
",,,,,,,,
2011-06-15,2011-06-15,," 1.56
",,,,,,,,
2011-06-16,2011-06-16,," 1.56
",,,,,,,,
2011-06-17,2011-06-17,," 1.56
",,,,,,,,
2011-06-18,2011-06-18,," 1.56
",,,,,,,,
2011-06-19,2011-06-19,," 1.56
",,,,,,,,
2011-06-20,2011-06-20,," 1.56
",,,,,,,,
2011-06-21,2011-06-21,," 1.56
",,,,,,,,
2011-06-22,2011-06-22,," 1.56
",,,,,,,,
2011-06-23,2011-06-23,," 1.56
",,,,,,,,
2011-06-24,2011-06-24,," 1.56
",,,,,,,,
2011-06-25,2011-06-25,," 1.56
",,,,,,,,
2011-06-26,2011-06-26,," 1.56
",,,,,,,,
2011-06-27,2011-06-27,," 1.56
",,,,,,,,
2011-06-28,2011-06-28,," 1.56
",,,,,,,,
2011-06-29,2011-06-29,," 1.53
",,,,,,,,
2011-06-30,2011-06-30,," 1.53
",,,,,,,,
2011-07-01,2011-07-01,," 1.53
",,,,,,,,
2011-07-02,2011-07-02,," 1.53
",,,,,,,,
2011-07-03,2011-07-03,," 1.53
",,,,,,,,
2011-07-04,2011-07-04,," 1.53
",,,,,,,,
2011-07-05,2011-07-05,," 1.53
",,,,,,,,
2011-07-06,2011-07-06,," 1.53
",,,,,,,,
2011-07-07,2011-07-07,," 1.53
",,,,,,,,
2011-07-08,2011-07-08,," 1.53
",,,,,,,,
2011-07-09,2011-07-09,," 1.53
",,,,,,,,
2011-07-10,2011-07-10,," 1.53
",,,,,,,,
2011-07-11,2011-07-11,," 1.55
",,,,,,,,
2011-07-12,2011-07-12,," 1.56
",,,,,,,,
2011-07-13,2011-07-13,," 1.56
",,,,,,,,
2011-07-14,2011-07-14,," 1.56
",,,,,,,,
2011-07-15,2011-07-15,," 1.56
",,,,,,,,
2011-07-16,2011-07-16,," 1.56
",,,,,,,,
2011-07-17,2011-07-17,," 1.56
",,,,,,,,
2011-07-18,2011-07-18,," 1.56
",,,,,,,,
2011-07-19,2011-07-19,," 1.53
",,,,,,,,
2011-07-20,2011-07-20,," 1.53
",,,,,,,,
2011-07-21,2011-07-21,," 1.53
",,,,,,,,
2011-07-22,2011-07-22,," 1.53
",,,,,,,,
2011-07-23,2011-07-23,," 1.53
",,,,,,,,
2011-07-24,2011-07-24,," 1.57
",,,,,,,,
2011-07-25,2011-07-25,," 1.42
",,,,,,,,
2011-07-26,2011-07-26,," 1.42
",,,,,,,,
2011-07-27,2011-07-27,," 1.38
",,,,,,,,
2011-07-28,2011-07-28,," 1.38
",,,,,,,,
2011-07-29,2011-07-29,," 1.36
",,,,,,,,
2011-07-30,2011-07-30,," 1.36
",,,,,,,,
2011-07-31,2011-07-31,," 1.36
",,,,,,,,
2011-08-01,2011-08-01,," 1.36
",,,,,,,,
2011-08-02,2011-08-02,," 1.36
",,,,,,,,
2011-08-03,2011-08-03,," 1.36
",,,,,,,,
2011-08-04,2011-08-04,," 1.36
",,,,,,,,
2011-08-05,2011-08-05,," 1.36
",,,,,,,,
2011-08-06,2011-08-06,," 1.36
",,,,,,,,
2011-08-07,2011-08-07,," 1.36
",,,,,,,,
2011-08-08,2011-08-08,," 1.36
",,,,,,,,
2011-08-09,2011-08-09,," 1.36
",,,,,,,,
2011-08-10,2011-08-10,," 1.36
",,,,,,,,
2011-08-11,2011-08-11,," 1.36
",,,,,,,,
2011-08-12,2011-08-12,," 1.36
",,,,,,,,
2011-08-13,2011-08-13,," 1.36
",,,,,,,,
2011-08-14,2011-08-14,," 1.38
",,,,,,,,
2011-08-15,2011-08-15,," 1.38
",,,,,,,,
2011-08-16,2011-08-16,," 1.38
",,,,,,,,
2011-08-17,2011-08-17,," 1.38
",,,,,,,,
2011-08-18,2011-08-18,," 1.38
",,,,,,,,
2011-08-19,2011-08-19,," 1.38
",,,,,,,,
2011-08-20,2011-08-20,," 1.38
",,,,,,,,
2011-08-21,2011-08-21,," 1.38
",,,,,,,,
2011-08-22,2011-08-22,," 1.38
",,,,,,,,
2011-08-23,2011-08-23,," 1.38
",,,,,,,,
2011-08-24,2011-08-24,," 1.38
",,,,,,,,
2011-08-25,2011-08-25,," 1.38
",,,,,,,,
2011-08-26,2011-08-26,," 1.38
",,,,,,,,
2011-08-27,2011-08-27,," 1.38
",,,,,,,,
2011-08-28,2011-08-28,," 1.38
",,,,,,,,
2011-08-29,2011-08-29,," 1.38
",,,,,,,,
2011-08-30,2011-08-30,," 1.38
",,,,,,,,
2011-08-31,2011-08-31,," 1.38
",,,,,,,,
2011-09-01,2011-09-01,," 1.38
",,,,,,,,
2011-09-02,2011-09-02,," 1.38
",,,,,,,,
2011-09-03,2011-09-03,," 1.36
",,,,,,,,
2011-09-04,2011-09-04,," 1.36
",,,,,,,,
2011-09-05,2011-09-05,," 1.36
",,,,,,,,
2011-09-06,2011-09-06,," 1.32
",,,,,,,,
2011-09-07,2011-09-07,," 1.32
",,,,,,,,
2011-09-08,2011-09-08,," 1.32
",,,,,,,,
2011-09-09,2011-09-09,," 1.32
",,,,,,,,
2011-09-10,2011-09-10,," 1.32
",,,,,,,,
2011-09-11,2011-09-11,," 1.32
",,,,,,,,
2011-09-12,2011-09-12,," 1.32
",,,,,,,,
2011-09-13,2011-09-13,," 1.32
",,,,,,,,
2011-09-14,2011-09-14,," 1.32
",,,,,,,,
2011-09-15,2011-09-15,," 1.32
",,,,,,,,
2011-09-16,2011-09-16,," 1.32
",,,,,,,,
2011-09-17,2011-09-17,," 1.32
",,,,,,,,
2011-09-18,2011-09-18,," 1.32
",,,,,,,,
2011-09-19,2011-09-19,," 1.32
",,,,,,,,
2011-09-20,2011-09-20,," 1.32
",,,,,,,,
2011-09-21,2011-09-21,," 1.32
",,,,,,,,
2011-09-22,2011-09-22,," 1.32
",,,,,,,,
2011-09-23,2011-09-23,," 1.38
",,,,,,,,
2011-09-24,2011-09-24,," 1.38
",,,,,,,,
2011-09-25,2011-09-25,," 1.38
",,,,,,,,
2011-09-26,2011-09-26,," 1.38
",,,,,,,,
2011-09-27,2011-09-27,," 1.36
",,,,,,,,
2011-09-28,2011-09-28,," 1.3
",,,,,,,,
2011-09-29,2011-09-29,," 1.3
",,,,,,,,
2011-09-30,2011-09-30,," 1.3
",,,,,,,,
2011-10-01,2011-10-01,," 1.3
",,,,,,,,
2011-10-02,2011-10-02,," 1.25
",,,,,,,,
2011-10-03,2011-10-03,," 1.25
",,,,,,,,
2011-10-04,2011-10-04,," 1.25
",,,,,,,,
2011-10-05,2011-10-05,," 1.25
",,,,,,,,
2011-10-06,2011-10-06,," 1.25
",,,,,,,,
2011-10-07,2011-10-07,," 1.25
",,,,,,,,
2011-10-09,2011-10-09,," 1.25
",,,,,,,,
2011-10-10,2011-10-10,," 1.25
",,,,,,,,
2011-10-11,2011-10-11,," 1.25
",,,,,,,,
2011-10-12,2011-10-12,," 1.25
",,,,,,,,
2011-10-13,2011-10-13,," 1.25
",,,,,,,,
2011-10-14,2011-10-14,," 1.25
",,,,,,,,
2011-10-15,2011-10-15,," 1.25
",,,,,,,,
2011-10-16,2011-10-16,," 1.25
",,,,,,,,
2011-10-17,2011-10-17,," 1.25
",,,,,,,,
2011-10-18,2011-10-18,," 1.25
",,,,,,,,
2011-10-19,2011-10-19,," 1.25
",,,,,,,,
2011-10-20,2011-10-20,," 1.25
",,,,,,,,
2011-10-21,2011-10-21,," 1.25
",,,,,,,,
2011-10-22,2011-10-22,," 1.25
",,,,,,,,
2011-10-23,2011-10-23,," 1.25
",,,,,,,,
2011-10-24,2011-10-24,," 1.25
",,,,,,,,
2011-10-25,2011-10-25,," 1.25
",,,,,,,,
2011-10-26,2011-10-26,," 1.25
",,,,,,,,
2011-10-27,2011-10-27,," 1.25
",,,,,,,,
2011-10-28,2011-10-28,," 1.25
",,,,,,,,
2011-10-29,2011-10-29,," 1.25
",,,,,,,,
2011-10-30,2011-10-30,," 1.25
",,,,,,,,
2011-10-31,2011-10-31,," 1.25
",,,,,,,,
2011-11-01,2011-11-01,," 1.25
",,,,,,,,
2011-11-02,2011-11-02,," 1.25
",,,,,,,,
2011-11-03,2011-11-03,," 1.25
",,,,,,,,
2011-11-04,2011-11-04,," 1.25
",,,,,,,,
2011-11-05,2011-11-05,," 1.25
",,,,,,,,
2011-11-06,2011-11-06,," 1.25
",,,,,,,,
2011-11-07,2011-11-07,," 1.25
",,,,,,,,
2011-11-08,2011-11-08,," 1.25
",,,,,,,,
2011-11-09,2011-11-09,," 1.25
",,,,,,,,
2011-11-10,2011-11-10,," 1.25
",,,,,,,,
2011-11-11,2011-11-11,," 1.25
",,,,,,,,
2011-11-12,2011-11-12,," 1.25
",,,,,,,,
2011-11-13,2011-11-13,," 1.25
",,,,,,,,
2011-11-14,2011-11-14,," 1.25
",,,,,,,,
2011-11-15,2011-11-15,," 1.25
",,,,,,,,
2011-11-16,2011-11-16,," 1.18
",,,,,,,,
2011-11-17,2011-11-17,," 1.18
",,,,,,,,
2011-11-18,2011-11-18,," 1.18
",,,,,,,,
2011-11-19,2011-11-19,," 1.18
",,,,,,,,
2011-11-20,2011-11-20,," 1.18
",,,,,,,,
2011-11-21,2011-11-21,," 1.18
",,,,,,,,
2011-11-22,2011-11-22,," 1.18
",,,,,,,,
2011-11-23,2011-11-23,," 1.25
",,,,,,,,
2011-11-24,2011-11-24,," 1.25
",,,,,,,,
2011-11-25,2011-11-25,," 1.18
",,,,,,,,
2011-11-26,2011-11-26,," 1.18
",,,,,,,,
2011-11-27,2011-11-27,," 1.18
",,,,,,,,
2011-11-28,2011-11-28,," 1.19
",,,,,,,,
2011-11-29,2011-11-29,," 1.19
",,,,,,,,
2011-11-30,2011-11-30,," 1.19
",,,,,,,,
2011-12-01,2011-12-01,," 1.19
",,,,,,,,
2011-12-02,2011-12-02,," 1.19
",,,,,,,,
2011-12-03,2011-12-03,," 1.23
",,,,,,,,
2011-12-04,2011-12-04,," 1.23
",,,,,,,,
2011-12-05,2011-12-05,," 1.23
",,,,,,,,
2011-12-06,2011-12-06,," 1.23
",,,,,,,,
2011-12-07,2011-12-07,," 1.23
",,,,,,,,
2011-12-08,2011-12-08,," 1.23
",,,,,,,,
2011-12-09,2011-12-09,," 1.21
",,,,,,,,
2011-12-10,2011-12-10,," 1.21
",,,,,,,,
2011-12-11,2011-12-11,," 1.21
",,,,,,,,
2011-12-12,2011-12-12,," 1.21
",,,,,,,,
2011-12-13,2011-12-13,," 1.21
",,,,,,,,
2011-12-14,2011-12-14,," 1.21
",,,,,,,,
2011-12-15,2011-12-15,," 1.21
",,,,,,,,
2011-12-16,2011-12-16,," 1.21
",,,,,,,,
2011-12-17,2011-12-17,," 1.21
",,,,,,,,
2011-12-18,2011-12-18,," 1.21
",,,,,,,,
2011-12-19,2011-12-19,," 1.21
",,,,,,,,
2011-12-20,2011-12-20,," 1.21
",,,,,,,,
2011-12-21,2011-12-21,," 1.21
",,,,,,,,
2011-12-22,2011-12-22,," 1.21
",,,,,,,,
2011-12-23,2011-12-23,," 1.21
",,,,,,,,
2011-12-24,2011-12-24,," 1.21
",,,,,,,,
2011-12-25,2011-12-25,," 1.21
",,,,,,,,
2011-12-26,2011-12-26,," 1.21
",,,,,,,,
2011-12-27,2011-12-27,," 1.21
",,,,,,,,
2011-12-28,2011-12-28,," 1.21
",,,,,,,,
2011-12-29,2011-12-29,," 1.21
",,,,,,,,
2011-12-30,2011-12-30,," 1.21
",,,,,,,,
2011-12-31,2011-12-31,," 1.21
",,,,,,,,
2012-01-01,2012-01-01,," 1.21
",,,,,,,,
2012-01-02,2012-01-02,," 1.44
",,,,,,,,
2012-01-03,2012-01-03,," 1.44
",,,,,,,,
2012-01-04,2012-01-04,," 1.44
",,,,,,,,
2012-01-05,2012-01-05,," 1.44
",,,,,,,,
2012-01-06,2012-01-06,," 1.44
",,,,,,,,
2012-01-07,2012-01-07,," 1.44
",,,,,,,,
2012-01-08,2012-01-08,," 1.44
",,,,,,,,
2012-01-09,2012-01-09,," 1.39
",,,,,,,,
2012-01-10,2012-01-10,," 1.39
",,,,,,,,
2012-01-11,2012-01-11,," 1.39
",,,,,,,,
2012-01-12,2012-01-12,," 1.39
",,,,,,,,
2012-01-13,2012-01-13,," 1.39
",,,,,,,,
2012-01-14,2012-01-14,," 1.39
",,,,,,,,
2012-01-15,2012-01-15,," 1.39
",,,,,,,,
2012-01-16,2012-01-16,," 1.39
",,,,,,,,
2012-01-17,2012-01-17,," 1.39
",,,,,,,,
2012-01-18,2012-01-18,," 1.39
",,,,,,,,
2012-01-19,2012-01-19,," 1.39
",,,,,,,,
2012-01-20,2012-01-20,," 1.39
",,,,,,,,
2012-01-21,2012-01-21,," 1.24
",,,,,,,,
2012-01-22,2012-01-22,," 1.24
",,,,,,,,
2012-01-23,2012-01-23,," 1.24
",,,,,,,,
2012-01-24,2012-01-24,," 1.24
",,,,,,,,
2012-01-25,2012-01-25,," 1.24
",,,,,,,,
2012-01-26,2012-01-26,," 1.24
",,,,,,,,
2012-01-27,2012-01-27,," 1.24
",,,,,,,,
2012-01-28,2012-01-28,," 1.24
",,,,,,,,
2012-01-29,2012-01-29,," 1.24
",,,,,,,,
2012-01-30,2012-01-30,," 1.24
",,,,,,,,
2012-01-31,2012-01-31,," 1.24
",,,,,,,,
2012-02-01,2012-02-01,," 1.24
",,,,,,,,
2012-02-02,2012-02-02,," 1.24
",,,,,,,,
2012-02-03,2012-02-03,," 1.24
",,,,,,,,
2012-02-04,2012-02-04,," 1.24
",,,,,,,,
2012-02-05,2012-02-05,," 1.24
",,,,,,,,
2012-02-06,2012-02-06,," 1.24
",,,,,,,,
2012-02-07,2012-02-07,," 1.24
",,,,,,,,
2012-02-08,2012-02-08,," 1.24
",,,,,,,,
2012-02-09,2012-02-09,," 1.24
",,,,,,,,
2012-02-10,2012-02-10,," 1.24
",,,,,,,,
2012-02-11,2012-02-11,," 1.24
",,,,,,,,
2012-02-12,2012-02-12,," 1.24
",,,,,,,,
2012-02-13,2012-02-13,," 1.24
",,,,,,,,
2012-02-14,2012-02-14,," 1.24
",,,,,,,,
2012-02-15,2012-02-15,," 1.24
",,,,,,,,
2012-02-16,2012-02-16,," 1.24
",,,,,,,,
2012-02-17,2012-02-17,," 1.24
",,,,,,,,
2012-02-18,2012-02-18,," 1.24
",,,,,,,,
2012-02-19,2012-02-19,," 1.24
",,,,,,,,
2012-02-20,2012-02-20,," 1.24
",,,,,,,,
2012-02-21,2012-02-21,," 1.24
",,,,,,,,
2012-02-22,2012-02-22,," 1.24
",,,,,,,,
2012-02-23,2012-02-23,," 1.21
",,,,,,,,
2012-02-24,2012-02-24,," 1.21
",,,,,,,,
2012-02-25,2012-02-25,," 1.21
",,,,,,,,
