index,name,code,setName
68,Serra Angel,10E,Tenth Edition
69,Sea Monster,10E,Tenth Edition
70,Shimmering Wings,10E,Tenth Edition
72,Sift,10E,Tenth Edition
73,Sky Weaver,10E,Tenth Edition
75,Mortivore,10E,Tenth Edition
77,Nomad Mythmaker,10E,Tenth Edition
78,Paladin en-Vec,10E,Tenth Edition
79,Peek,10E,Tenth Edition
80,Phantom Warrior,10E,Tenth Edition
81,Plagiarize,10E,Tenth Edition
82,Consume Spirit,10E,Tenth Edition
84,Cruel Edict,10E,Tenth Edition
85,Deathmark,10E,Tenth Edition
86,Diabolic Tutor,10E,Tenth Edition
87,Distress,10E,Tenth Edition
88,Doomed Necromancer,10E,Tenth Edition
89,Dross Crocodile,10E,Tenth Edition
91,Dusk Imp,10E,Tenth Edition
93,Essence Drain,10E,Tenth Edition
95,Hidden Horror,10E,Tenth Edition
96,Nantuko Husk,10E,Tenth Edition
97,Nekrataal,10E,Tenth Edition
99,Nightmare,10E,Tenth Edition
101,Rage Weaver,10E,Tenth Edition
102,Raging Goblin,10E,Tenth Edition
103,Pacifism,10E,Tenth Edition
104,Pariah,10E,Tenth Edition
105,Persuasion,10E,Tenth Edition
106,No Rest for the Wicked,10E,Tenth Edition
107,Phage the Untouchable,10E,Tenth Edition
108,Phyrexian Rager,10E,Tenth Edition
109,Plague Beetle,10E,Tenth Edition
111,Plague Wind,10E,Tenth Edition
112,Rain of Tears,10E,Tenth Edition
113,Ravenous Rats,10E,Tenth Edition
114,Recover,10E,Tenth Edition
115,Relentless Rats,10E,Tenth Edition
116,Royal Assassin,10E,Tenth Edition
117,Scathe Zombies,10E,Tenth Edition
118,Sengir Vampire,10E,Tenth Edition
120,Severed Legion,10E,Tenth Edition
122,Anaba Bodyguard,10E,Tenth Edition
124,Arcane Teachings,10E,Tenth Edition
126,Beacon of Destruction,10E,Tenth Edition
127,Blaze,10E,Tenth Edition
128,Bloodfire Colossus,10E,Tenth Edition
129,Bloodrock Cyclops,10E,Tenth Edition
130,Bogardan Firefiend,10E,Tenth Edition
133,Flashfreeze,10E,Tenth Edition
134,Fog Elemental,10E,Tenth Edition
135,Festering Goblin,10E,Tenth Edition
136,Highway Robber,10E,Tenth Edition
139,Firebreathing,10E,Tenth Edition
141,Holy Day,10E,Tenth Edition
142,Holy Strength,10E,Tenth Edition
143,Fugitive Wizard,10E,Tenth Edition
144,Horseshoe Crab,10E,Tenth Edition
145,Grave Pact,10E,Tenth Edition
146,Graveborn Muse,10E,Tenth Edition
147,Gravedigger,10E,Tenth Edition
148,Hate Weaver,10E,Tenth Edition
149,Head Games,10E,Tenth Edition
150,Knight of Dusk,10E,Tenth Edition
151,Lord of the Pit,10E,Tenth Edition
152,Loxodon Mystic,10E,Tenth Edition
153,Loyal Sentry,10E,Tenth Edition
154,Mobilization,10E,Tenth Edition
155,Lumengrid Warden,10E,Tenth Edition
156,Merfolk Looter,10E,Tenth Edition
157,Mind Bend,10E,Tenth Edition
158,Lord of the Undead,10E,Tenth Edition
159,"Kamahl, Pit Fighter",10E,Tenth Edition
161,Kjeldoran Royal Guard,10E,Tenth Edition
162,Luminesce,10E,Tenth Edition
163,Mahamoti Djinn,10E,Tenth Edition
164,Looming Shade,10E,Tenth Edition
166,Midnight Ritual,10E,Tenth Edition
167,Fists of the Anvil,10E,Tenth Edition
168,Flamewave Invoker,10E,Tenth Edition
169,Flowstone Slide,10E,Tenth Edition
170,Furnace of Rath,10E,Tenth Edition
171,Furnace Whelp,10E,Tenth Edition
173,Goblin Elite Infantry,10E,Tenth Edition
174,Goblin King,10E,Tenth Edition
176,Goblin Lore,10E,Tenth Edition
177,Goblin Piker,10E,Tenth Edition
178,Goblin Sky Raider,10E,Tenth Edition
180,Guerrilla Tactics,10E,Tenth Edition
181,Hill Giant,10E,Tenth Edition
182,Incinerate,10E,Tenth Edition
183,Lava Axe,10E,Tenth Edition
184,Lavaborn Muse,10E,Tenth Edition
185,Lightning Elemental,10E,Tenth Edition
188,March of the Machines,10E,Tenth Edition
189,Mass of Ghouls,10E,Tenth Edition
190,Megrim,10E,Tenth Edition
191,Mind Rot,10E,Tenth Edition
192,Mortal Combat,10E,Tenth Edition
193,Manabarbs,10E,Tenth Edition
194,Mogg Fanatic,10E,Tenth Edition
195,Abundance,10E,Tenth Edition
196,Aggressive Urge,10E,Tenth Edition
197,Avatar of Might,10E,Tenth Edition
198,Birds of Paradise,10E,Tenth Edition
201,Angelic Blessing,10E,Tenth Edition
202,Angelic Chorus,10E,Tenth Edition
203,Aura of Silence,10E,Tenth Edition
204,Arcanis the Omnipotent,10E,Tenth Edition
205,Cone of Flame,10E,Tenth Edition
206,Cryoclasm,10E,Tenth Edition
207,Demolish,10E,Tenth Edition
208,Dragon Roost,10E,Tenth Edition
210,Duct Crawler,10E,Tenth Edition
211,Earth Elemental,10E,Tenth Edition
212,Orcish Artillery,10E,Tenth Edition
213,Prodigal Pyromancer,10E,Tenth Edition
214,Pyroclasm,10E,Tenth Edition
217,Relentless Assault,10E,Tenth Edition
218,Rock Badger,10E,Tenth Edition
220,Scoria Wurm,10E,Tenth Edition
221,Seismic Assault,10E,Tenth Edition
222,Shatterstorm,10E,Tenth Edition
223,Shivan Dragon,10E,Tenth Edition
225,Shivan Hellkite,10E,Tenth Edition
227,Shock,10E,Tenth Edition
228,Shunt,10E,Tenth Edition
229,Siege-Gang Commander,10E,Tenth Edition
231,Blanchwood Armor,10E,Tenth Edition
233,Canopy Spider,10E,Tenth Edition
235,Civic Wayfinder,10E,Tenth Edition
236,Commune with Nature,10E,Tenth Edition
237,Craw Wurm,10E,Tenth Edition
238,Creeping Mold,10E,Tenth Edition
239,Elven Riders,10E,Tenth Edition
240,Elvish Berserker,10E,Tenth Edition
241,Elvish Champion,10E,Tenth Edition
243,Elvish Piper,10E,Tenth Edition
244,Enormous Baloth,10E,Tenth Edition
245,Femeref Archers,10E,Tenth Edition
246,Gaea's Herald,10E,Tenth Edition
247,Giant Growth,10E,Tenth Edition
248,Giant Spider,10E,Tenth Edition
250,Grizzly Bears,10E,Tenth Edition
251,Hunted Wumpus,10E,Tenth Edition
252,Hurricane,10E,Tenth Edition
253,Joiner Adept,10E,Tenth Edition
254,Karplusan Strider,10E,Tenth Edition
255,Kavu Climber,10E,Tenth Edition
256,Llanowar Elves,10E,Tenth Edition
257,Llanowar Sentinel,10E,Tenth Edition
258,Lure,10E,Tenth Edition
260,Might of Oaks,10E,Tenth Edition
261,Might Weaver,10E,Tenth Edition
263,"Mirri, Cat Warrior",10E,Tenth Edition
265,"Molimo, Maro-Sorcerer",10E,Tenth Edition
267,Natural Spring,10E,Tenth Edition
268,Naturalize,10E,Tenth Edition
269,Overgrowth,10E,Tenth Edition
271,Overrun,10E,Tenth Edition
273,Pincher Beetles,10E,Tenth Edition
275,Primal Rage,10E,Tenth Edition
277,Quirion Dryad,10E,Tenth Edition
278,Rampant Growth,10E,Tenth Edition
279,Recollect,10E,Tenth Edition
280,Regeneration,10E,Tenth Edition
282,Rhox,10E,Tenth Edition
284,Skyhunter Patrol,10E,Tenth Edition
285,Root Maze,10E,Tenth Edition
286,Rootwalla,10E,Tenth Edition
287,Rushwood Dryad,10E,Tenth Edition
289,Scion of the Wild,10E,Tenth Edition
290,Seedborn Muse,10E,Tenth Edition
293,Angel's Feather,10E,Tenth Edition
294,Bottle Gnomes,10E,Tenth Edition
295,Chimeric Staff,10E,Tenth Edition
296,Chromatic Star,10E,Tenth Edition
297,Citanul Flute,10E,Tenth Edition
298,Coat of Arms,10E,Tenth Edition
300,Colossus of Sardia,10E,Tenth Edition
302,Composite Golem,10E,Tenth Edition
303,Crucible of Worlds,10E,Tenth Edition
305,Demon's Horn,10E,Tenth Edition
306,Doubling Cube,10E,Tenth Edition
307,Dragon's Claw,10E,Tenth Edition
308,Fountain of Youth,10E,Tenth Edition
309,Howling Mine,10E,Tenth Edition
310,Icy Manipulator,10E,Tenth Edition
311,Jayemdae Tome,10E,Tenth Edition
312,Juggernaut,10E,Tenth Edition
313,Kraken's Eye,10E,Tenth Edition
315,Puppeteer,10E,Tenth Edition
316,Legacy Weapon,10E,Tenth Edition
317,Leonin Scimitar,10E,Tenth Edition
319,Loxodon Warhammer,10E,Tenth Edition
321,Mantis Engine,10E,Tenth Edition
323,Millstone,10E,Tenth Edition
324,Mind Stone,10E,Tenth Edition
325,Ornithopter,10E,Tenth Edition
327,Phyrexian Vault,10E,Tenth Edition
328,Pithing Needle,10E,Tenth Edition
329,Platinum Angel,10E,Tenth Edition
332,Razormane Masticore,10E,Tenth Edition
334,Rod of Ruin,10E,Tenth Edition
335,Sculpting Steel,10E,Tenth Edition
336,Adarkar Wastes,10E,Tenth Edition
337,Faerie Conclave,10E,Tenth Edition
340,Angelic Wall,10E,Tenth Edition
341,Battlefield Forge,10E,Tenth Edition
342,Brushland,10E,Tenth Edition
343,Caves of Koilos,10E,Tenth Edition
344,Forbidding Watchtower,10E,Tenth Edition
345,Ghitu Encampment,10E,Tenth Edition
347,Karplusan Forest,10E,Tenth Edition
348,Llanowar Wastes,10E,Tenth Edition
349,Quicksand,10E,Tenth Edition
350,Shivan Reef,10E,Tenth Edition
352,Plains,10E,Tenth Edition
356,Island,10E,Tenth Edition
360,Mountain,10E,Tenth Edition
364,Forest,10E,Tenth Edition
371,Skyhunter Prowler,10E,Tenth Edition
372,Soul Warden,10E,Tenth Edition
373,Spirit Weaver,10E,Tenth Edition
374,Snapping Drake,10E,Tenth Edition
376,Spirit Link,10E,Tenth Edition
377,Spiketail Hatchling,10E,Tenth Edition
379,Story Circle,10E,Tenth Edition
380,Suntail Hawk,10E,Tenth Edition
381,Tempest of Light,10E,Tenth Edition
382,Sunken Hope,10E,Tenth Edition
383,Telepathy,10E,Tenth Edition
384,Telling Time,10E,Tenth Edition
385,Thieving Magpie,10E,Tenth Edition
387,Tidings,10E,Tenth Edition
388,Time Stop,10E,Tenth Edition
390,Wall of Air,10E,Tenth Edition
391,Treetop Bracers,10E,Tenth Edition
392,Troll Ascetic,10E,Tenth Edition
393,Treetop Village,10E,Tenth Edition
394,Treasure Hunter,10E,Tenth Edition
395,True Believer,10E,Tenth Edition
396,Tundra Wolves,10E,Tenth Edition
397,Venerable Monk,10E,Tenth Edition
398,Wall of Swords,10E,Tenth Edition
400,Windborn Muse,10E,Tenth Edition
401,Wrath of God,10E,Tenth Edition
402,Time Stretch,10E,Tenth Edition
403,Traumatize,10E,Tenth Edition
404,Twincast,10E,Tenth Edition
405,Twitch,10E,Tenth Edition
406,Unsummon,10E,Tenth Edition
407,Vedalken Mastermind,10E,Tenth Edition
409,Sleeper Agent,10E,Tenth Edition
410,Soul Feast,10E,Tenth Edition
411,Spineless Thug,10E,Tenth Edition
412,Terror,10E,Tenth Edition
413,Thrull Surgeon,10E,Tenth Edition
414,Underworld Dreams,10E,Tenth Edition
415,Unholy Strength,10E,Tenth Edition
417,Vampire Bats,10E,Tenth Edition
419,Smash,10E,Tenth Edition
420,Soulblast,10E,Tenth Edition
421,Spark Elemental,10E,Tenth Edition
423,Starlight Invoker,10E,Tenth Edition
424,Stronghold Discipline,10E,Tenth Edition
425,Spitting Earth,10E,Tenth Edition
426,"Squee, Goblin Nabob",10E,Tenth Edition
427,Stun,10E,Tenth Edition
428,Sudden Impact,10E,Tenth Edition
429,Threaten,10E,Tenth Edition
431,Thundering Giant,10E,Tenth Edition
433,Skyshroud Ranger,10E,Tenth Edition
434,Spined Wurm,10E,Tenth Edition
435,Stalking Tiger,10E,Tenth Edition
436,Stampeding Wildebeests,10E,Tenth Edition
438,Sylvan Basilisk,10E,Tenth Edition
439,Sylvan Scrying,10E,Tenth Edition
440,Tangle Spider,10E,Tenth Edition
442,Whispersilk Cloak,10E,Tenth Edition
443,Voice of All,10E,Tenth Edition
444,Uncontrollable Anger,10E,Tenth Edition
446,Youthful Knight,10E,Tenth Edition
447,Viashino Runner,10E,Tenth Edition
448,Viashino Sandscout,10E,Tenth Edition
450,Wall of Fire,10E,Tenth Edition
452,Warrior's Honor,10E,Tenth Edition
453,Warp World,10E,Tenth Edition
456,Upwelling,10E,Tenth Edition
458,Wild Griffin,10E,Tenth Edition
459,Verdant Force,10E,Tenth Edition
460,Viridian Shaman,10E,Tenth Edition
461,Wall of Wood,10E,Tenth Edition
463,The Hive,10E,Tenth Edition
465,Spellbook,10E,Tenth Edition
466,Steel Golem,10E,Tenth Edition
467,Spawning Pool,10E,Tenth Edition
468,Terramorphic Expanse,10E,Tenth Edition
469,Swamp,10E,Tenth Edition
472,Skyhunter Skirmisher,10E,Tenth Edition
474,Sulfurous Springs,10E,Tenth Edition
479,Steadfast Guard,10E,Tenth Edition
480,Yavimaya Enchantress,10E,Tenth Edition
482,Wurm's Tooth,10E,Tenth Edition
484,Underground River,10E,Tenth Edition
485,Yavimaya Coast,10E,Tenth Edition
496,Aura Graft,10E,Tenth Edition
508,Animate Wall,2ED,Unlimited Edition
509,Armageddon,2ED,Unlimited Edition
510,Balance,2ED,Unlimited Edition
511,Benalish Hero,2ED,Unlimited Edition
512,Black Ward,2ED,Unlimited Edition
513,Blaze of Glory,2ED,Unlimited Edition
514,Blessing,2ED,Unlimited Edition
515,Blue Ward,2ED,Unlimited Edition
516,Castle,2ED,Unlimited Edition
517,Circle of Protection: Black,2ED,Unlimited Edition
518,Circle of Protection: Blue,2ED,Unlimited Edition
519,Circle of Protection: Green,2ED,Unlimited Edition
520,Circle of Protection: Red,2ED,Unlimited Edition
521,Circle of Protection: White,2ED,Unlimited Edition
522,Consecrate Land,2ED,Unlimited Edition
523,Conversion,2ED,Unlimited Edition
524,Crusade,2ED,Unlimited Edition
525,Death Ward,2ED,Unlimited Edition
526,Disenchant,2ED,Unlimited Edition
527,Farmstead,2ED,Unlimited Edition
528,Green Ward,2ED,Unlimited Edition
529,Guardian Angel,2ED,Unlimited Edition
530,Healing Salve,2ED,Unlimited Edition
531,Holy Armor,2ED,Unlimited Edition
533,Island Sanctuary,2ED,Unlimited Edition
534,Karma,2ED,Unlimited Edition
535,Lance,2ED,Unlimited Edition
536,Mesa Pegasus,2ED,Unlimited Edition
537,Northern Paladin,2ED,Unlimited Edition
538,Pearled Unicorn,2ED,Unlimited Edition
539,Personal Incarnation,2ED,Unlimited Edition
540,Purelace,2ED,Unlimited Edition
541,Red Ward,2ED,Unlimited Edition
542,Resurrection,2ED,Unlimited Edition
543,Reverse Damage,2ED,Unlimited Edition
546,Savannah Lions,2ED,Unlimited Edition
548,Swords to Plowshares,2ED,Unlimited Edition
549,Veteran Bodyguard,2ED,Unlimited Edition
551,White Knight,2ED,Unlimited Edition
552,White Ward,2ED,Unlimited Edition
555,Ancestral Recall,2ED,Unlimited Edition
556,Animate Artifact,2ED,Unlimited Edition
557,Blue Elemental Blast,2ED,Unlimited Edition
558,Braingeyser,2ED,Unlimited Edition
560,Control Magic,2ED,Unlimited Edition
561,Copy Artifact,2ED,Unlimited Edition
562,Counterspell,2ED,Unlimited Edition
563,Creature Bond,2ED,Unlimited Edition
564,Drain Power,2ED,Unlimited Edition
565,Feedback,2ED,Unlimited Edition
566,Flight,2ED,Unlimited Edition
567,Invisibility,2ED,Unlimited Edition
568,Jump,2ED,Unlimited Edition
569,Lifetap,2ED,Unlimited Edition
570,Lord of Atlantis,2ED,Unlimited Edition
571,Magical Hack,2ED,Unlimited Edition
573,Mana Short,2ED,Unlimited Edition
574,Merfolk of the Pearl Trident,2ED,Unlimited Edition
575,Phantasmal Forces,2ED,Unlimited Edition
576,Phantasmal Terrain,2ED,Unlimited Edition
577,Phantom Monster,2ED,Unlimited Edition
578,Pirate Ship,2ED,Unlimited Edition
579,Power Leak,2ED,Unlimited Edition
580,Power Sink,2ED,Unlimited Edition
581,Prodigal Sorcerer,2ED,Unlimited Edition
582,Psionic Blast,2ED,Unlimited Edition
583,Psychic Venom,2ED,Unlimited Edition
584,Sea Serpent,2ED,Unlimited Edition
585,Siren's Call,2ED,Unlimited Edition
586,Sleight of Mind,2ED,Unlimited Edition
587,Spell Blast,2ED,Unlimited Edition
588,Stasis,2ED,Unlimited Edition
589,Steal Artifact,2ED,Unlimited Edition
590,Thoughtlace,2ED,Unlimited Edition
591,Time Walk,2ED,Unlimited Edition
592,Timetwister,2ED,Unlimited Edition
593,Twiddle,2ED,Unlimited Edition
595,Vesuvan Doppelganger,2ED,Unlimited Edition
596,Volcanic Eruption,2ED,Unlimited Edition
598,Wall of Water,2ED,Unlimited Edition
599,Water Elemental,2ED,Unlimited Edition
600,Animate Dead,2ED,Unlimited Edition
601,Bad Moon,2ED,Unlimited Edition
602,Black Knight,2ED,Unlimited Edition
604,Contract from Below,2ED,Unlimited Edition
605,Cursed Land,2ED,Unlimited Edition
606,Dark Ritual,2ED,Unlimited Edition
607,Darkpact,2ED,Unlimited Edition
608,Deathgrip,2ED,Unlimited Edition
609,Deathlace,2ED,Unlimited Edition
610,Demonic Attorney,2ED,Unlimited Edition
611,Demonic Hordes,2ED,Unlimited Edition
612,Demonic Tutor,2ED,Unlimited Edition
613,Drain Life,2ED,Unlimited Edition
615,Evil Presence,2ED,Unlimited Edition
617,Frozen Shade,2ED,Unlimited Edition
618,Gloom,2ED,Unlimited Edition
619,Howl from Beyond,2ED,Unlimited Edition
621,Lich,2ED,Unlimited Edition
623,Mind Twist,2ED,Unlimited Edition
624,Nether Shadow,2ED,Unlimited Edition
625,Nettling Imp,2ED,Unlimited Edition
627,Paralyze,2ED,Unlimited Edition
628,Pestilence,2ED,Unlimited Edition
629,Plague Rats,2ED,Unlimited Edition
630,Raise Dead,2ED,Unlimited Edition
632,Sacrifice,2ED,Unlimited Edition
634,Scavenging Ghoul,2ED,Unlimited Edition
636,Simulacrum,2ED,Unlimited Edition
637,Sinkhole,2ED,Unlimited Edition
640,Wall of Bone,2ED,Unlimited Edition
641,Warp Artifact,2ED,Unlimited Edition
642,Weakness,2ED,Unlimited Edition
643,Will-o'-the-Wisp,2ED,Unlimited Edition
644,Word of Command,2ED,Unlimited Edition
645,Zombie Master,2ED,Unlimited Edition
646,Burrowing,2ED,Unlimited Edition
647,Chaoslace,2ED,Unlimited Edition
648,Disintegrate,2ED,Unlimited Edition
649,Dragon Whelp,2ED,Unlimited Edition
650,Dwarven Demolition Team,2ED,Unlimited Edition
651,Dwarven Warriors,2ED,Unlimited Edition
653,Earthbind,2ED,Unlimited Edition
654,Earthquake,2ED,Unlimited Edition
655,False Orders,2ED,Unlimited Edition
656,Fire Elemental,2ED,Unlimited Edition
657,Fireball,2ED,Unlimited Edition
659,Flashfires,2ED,Unlimited Edition
660,Fork,2ED,Unlimited Edition
661,Goblin Balloon Brigade,2ED,Unlimited Edition
663,Granite Gargoyle,2ED,Unlimited Edition
664,Gray Ogre,2ED,Unlimited Edition
666,Hurloon Minotaur,2ED,Unlimited Edition
667,Ironclaw Orcs,2ED,Unlimited Edition
668,Keldon Warlord,2ED,Unlimited Edition
669,Lightning Bolt,2ED,Unlimited Edition
670,Mana Flare,2ED,Unlimited Edition
672,Mons's Goblin Raiders,2ED,Unlimited Edition
674,Orcish Oriflamme,2ED,Unlimited Edition
675,Power Surge,2ED,Unlimited Edition
676,Raging River,2ED,Unlimited Edition
677,Red Elemental Blast,2ED,Unlimited Edition
678,Roc of Kher Ridges,2ED,Unlimited Edition
679,Rock Hydra,2ED,Unlimited Edition
680,Sedge Troll,2ED,Unlimited Edition
681,Shatter,2ED,Unlimited Edition
683,Smoke,2ED,Unlimited Edition
684,Stone Giant,2ED,Unlimited Edition
685,Stone Rain,2ED,Unlimited Edition
686,Tunnel,2ED,Unlimited Edition
687,Two-Headed Giant of Foriys,2ED,Unlimited Edition
688,Uthden Troll,2ED,Unlimited Edition
690,Wall of Stone,2ED,Unlimited Edition
691,Wheel of Fortune,2ED,Unlimited Edition
692,Aspect of Wolf,2ED,Unlimited Edition
693,Berserk,2ED,Unlimited Edition
695,Camouflage,2ED,Unlimited Edition
696,Channel,2ED,Unlimited Edition
697,Cockatrice,2ED,Unlimited Edition
699,Elvish Archers,2ED,Unlimited Edition
700,Fastbond,2ED,Unlimited Edition
701,Fog,2ED,Unlimited Edition
702,Force of Nature,2ED,Unlimited Edition
703,Fungusaur,2ED,Unlimited Edition
704,Gaea's Liege,2ED,Unlimited Edition
709,Ice Storm,2ED,Unlimited Edition
710,Instill Energy,2ED,Unlimited Edition
711,Ironroot Treefolk,2ED,Unlimited Edition
712,Kudzu,2ED,Unlimited Edition
713,Ley Druid,2ED,Unlimited Edition
714,Lifeforce,2ED,Unlimited Edition
715,Lifelace,2ED,Unlimited Edition
716,Living Artifact,2ED,Unlimited Edition
717,Living Lands,2ED,Unlimited Edition
720,Natural Selection,2ED,Unlimited Edition
722,Regrowth,2ED,Unlimited Edition
723,Scryb Sprites,2ED,Unlimited Edition
724,Shanodin Dryads,2ED,Unlimited Edition
725,Stream of Life,2ED,Unlimited Edition
726,Thicket Basilisk,2ED,Unlimited Edition
727,Timber Wolves,2ED,Unlimited Edition
728,Tranquility,2ED,Unlimited Edition
729,Tsunami,2ED,Unlimited Edition
730,Verduran Enchantress,2ED,Unlimited Edition
731,Wall of Brambles,2ED,Unlimited Edition
732,Wall of Ice,2ED,Unlimited Edition
734,Wanderlust,2ED,Unlimited Edition
735,War Mammoth,2ED,Unlimited Edition
736,Web,2ED,Unlimited Edition
737,Wild Growth,2ED,Unlimited Edition
738,Ankh of Mishra,2ED,Unlimited Edition
739,Basalt Monolith,2ED,Unlimited Edition
740,Black Lotus,2ED,Unlimited Edition
741,Black Vise,2ED,Unlimited Edition
742,Celestial Prism,2ED,Unlimited Edition
743,Chaos Orb,2ED,Unlimited Edition
744,Clockwork Beast,2ED,Unlimited Edition
745,Conservator,2ED,Unlimited Edition
746,Copper Tablet,2ED,Unlimited Edition
747,Crystal Rod,2ED,Unlimited Edition
748,Cyclopean Tomb,2ED,Unlimited Edition
749,Dingus Egg,2ED,Unlimited Edition
750,Disrupting Scepter,2ED,Unlimited Edition
751,Forcefield,2ED,Unlimited Edition
752,Gauntlet of Might,2ED,Unlimited Edition
753,Glasses of Urza,2ED,Unlimited Edition
754,Helm of Chatzuk,2ED,Unlimited Edition
757,Illusionary Mask,2ED,Unlimited Edition
758,Iron Star,2ED,Unlimited Edition
759,Ivory Cup,2ED,Unlimited Edition
760,Jade Monolith,2ED,Unlimited Edition
761,Jade Statue,2ED,Unlimited Edition
764,Kormus Bell,2ED,Unlimited Edition
765,Library of Leng,2ED,Unlimited Edition
766,Living Wall,2ED,Unlimited Edition
767,Mana Vault,2ED,Unlimited Edition
768,Meekstone,2ED,Unlimited Edition
769,Mox Emerald,2ED,Unlimited Edition
770,Mox Jet,2ED,Unlimited Edition
771,Mox Pearl,2ED,Unlimited Edition
772,Mox Ruby,2ED,Unlimited Edition
773,Mox Sapphire,2ED,Unlimited Edition
774,Nevinyrral's Disk,2ED,Unlimited Edition
775,Obsianus Golem,2ED,Unlimited Edition
777,Sol Ring,2ED,Unlimited Edition
778,Soul Net,2ED,Unlimited Edition
779,Sunglasses of Urza,2ED,Unlimited Edition
781,Throne of Bone,2ED,Unlimited Edition
782,Time Vault,2ED,Unlimited Edition
783,Winter Orb,2ED,Unlimited Edition
784,Wooden Sphere,2ED,Unlimited Edition
785,Badlands,2ED,Unlimited Edition
786,Bayou,2ED,Unlimited Edition
787,Plateau,2ED,Unlimited Edition
788,Savannah,2ED,Unlimited Edition
789,Scrubland,2ED,Unlimited Edition
790,Taiga,2ED,Unlimited Edition
791,Tropical Island,2ED,Unlimited Edition
792,Tundra,2ED,Unlimited Edition
793,Underground Sea,2ED,Unlimited Edition
794,Volcanic Island,2ED,Unlimited Edition
810,Karn Liberated,2XM,Double Masters
811,Alabaster Mage,2XM,Double Masters
812,Ancestral Blade,2XM,Double Masters
813,Angel of the Dawn,2XM,Double Masters
814,Archangel of Thune,2XM,Double Masters
815,Auriok Salvagers,2XM,Double Masters
816,Austere Command,2XM,Double Masters
817,"Avacyn, Angel of Hope",2XM,Double Masters
818,Blade Splicer,2XM,Double Masters
819,Boon Reflection,2XM,Double Masters
820,Council's Judgment,2XM,Double Masters
821,Crib Swap,2XM,Double Masters
822,Crusader of Odric,2XM,Double Masters
823,Ethersworn Canonist,2XM,Double Masters
824,Fencing Ace,2XM,Double Masters
825,Flickerwisp,2XM,Double Masters
826,Fortify,2XM,Double Masters
827,Glint-Sleeve Artisan,2XM,Double Masters
828,"Kemba, Kha Regent",2XM,Double Masters
829,Land Tax,2XM,Double Masters
830,Leonin Abunas,2XM,Double Masters
831,Master Splicer,2XM,Double Masters
832,Myrsmith,2XM,Double Masters
833,Open the Vaults,2XM,Double Masters
834,Path to Exile,2XM,Double Masters
835,Puresteel Paladin,2XM,Double Masters
836,Remember the Fallen,2XM,Double Masters
837,Revoke Existence,2XM,Double Masters
838,Sanctum Gargoyle,2XM,Double Masters
839,Sanctum Spirit,2XM,Double Masters
840,Stoneforge Mystic,2XM,Double Masters
841,Stonehewer Giant,2XM,Double Masters
842,Strength of Arms,2XM,Double Masters
843,Tempered Steel,2XM,Double Masters
844,Thraben Inspector,2XM,Double Masters
845,Topple the Statue,2XM,Double Masters
